1;Tell me about q0;Tell me about this;["stato-q0"]
2;Tell me about q1;Tell me about this;["stato-q1"]
3;Tell me about q2;Tell me about this;["stato-q2"]
4;Tell me about q3;Tell me about this;["stato-q3"]
5;Tell me about q4;Tell me about this;["stato-q4"]
6;Tell me about the transition between q0 and q1;Tell me about this;["transizione-q0-q1"]
7;Tell me about the transition between q1 and q2;Tell me about this;["transizione-q1-q2"]
8;Tell me about the transition between q2 and q3;Tell me about this;["transizione-q2-q3"]
9;Tell me about the transition between q3 and q4;Tell me about this;["transizione-q3-q4"]
10;Tell me about the transition between q4 and q0;Tell me about this;["transizione-q4-q0"]
11;Is there a transition between q0 and q1?;Is there a transition between this and that?;["stato-q0", "stato-q1"]
12;Is there a transition between q1 and q2?;Is there a transition between this and that?;["stato-q1", "stato-q2"]
13;Is there a transition between q2 and q3?;Is there a transition between this and that?;["stato-q2", "stato-q3"]
14;Is there a transition between q3 and q4?;Is there a transition between this and that?;["stato-q3", "stato-q4"]
15;Is there a transition between q4 and q0?;Is there a transition between this and that?;["stato-q4", "stato-q0"]
16;Is there a transition between q0 and q2?;Is there a transition between this and that?;["stato-q0", "stato-q2"]
17;Is there a transition between q0 and q3?;Is there a transition between this and that?;["stato-q0", "stato-q3"]
18;Is there a transition between q0 and q4?;Is there a transition between this and that?;["stato-q0", "stato-q4"]
19;Is there a transition between q1 and q0?;Is there a transition between this and that?;["stato-q1", "stato-q0"]
20;Is there a transition between q1 and q3?;Is there a transition between this and that?;["stato-q1", "stato-q3"]
21;Is there a transition between q1 and q4?;Is there a transition between this and that?;["stato-q1", "stato-q4"]
22;Is there a transition between q2 and q0?;Is there a transition between this and that?;["stato-q2", "stato-q0"]
23;Is there a transition between q2 and q1?;Is there a transition between this and that?;["stato-q2", "stato-q1"]
24;Is there a transition between q2 and q4?;Is there a transition between this and that?;["stato-q2", "stato-q4"]
25;Is there a transition between q3 and q0?;Is there a transition between this and that?;["stato-q3", "stato-q0"]
26;Is there a transition between q3 and q1?;Is there a transition between this and that?;["stato-q3", "stato-q1"]
27;Is there a transition between q3 and q2?;Is there a transition between this and that?;["stato-q3", "stato-q2"]
28;Is there a transition between q4 and q1?;Is there a transition between this and that?;["stato-q4", "stato-q1"]
29;Is there a transition between q4 and q2?;Is there a transition between this and that?;["stato-q4", "stato-q2"]
30;Is there a transition between q4 and q3?;Is there a transition between this and that?;["stato-q4", "stato-q3"]
31;What is the value of the transition between q0 and q1?;What is the value of the transition between this and that?;["stato-q0", "stato-q1"]
32;What is the value of the transition between q1 and q2?;What is the value of the transition between this and that?;["stato-q1", "stato-q2"]
33;What is the value of the transition between q2 and q3?;What is the value of the transition between this and that?;["stato-q2", "stato-q3"]
34;What is the value of the transition between q3 and q4?;What is the value of the transition between this and that?;["stato-q3", "stato-q4"]
35;What is the value of the transition between q4 and q0?;What is the value of the transition between this and that?;["stato-q4", "stato-q0"]
36;What is the value of the transition between q0 and q2?;What is the value of the transition between this and that?;["stato-q0", "stato-q2"]
37;What is the value of the transition between q0 and q3?;What is the value of the transition between this and that?;["stato-q0", "stato-q3"]
38;What is the value of the transition between q0 and q4?;What is the value of the transition between this and that?;["stato-q0", "stato-q4"]
39;What is the value of the transition between q1 and q0?;What is the value of the transition between this and that?;["stato-q1", "stato-q0"]
40;What is the value of the transition between q1 and q3?;What is the value of the transition between this and that?;["stato-q1", "stato-q3"]
41;What is the value of the transition between q1 and q4?;What is the value of the transition between this and that?;["stato-q1", "stato-q4"]
42;What is the value of the transition between q2 and q0?;What is the value of the transition between this and that?;["stato-q2", "stato-q0"]
43;What is the value of the transition between q2 and q1?;What is the value of the transition between this and that?;["stato-q2", "stato-q1"]
44;What is the value of the transition between q2 and q4?;What is the value of the transition between this and that?;["stato-q2", "stato-q4"]
45;What is the value of the transition between q3 and q0?;What is the value of the transition between this and that?;["stato-q3", "stato-q0"]
46;What is the value of the transition between q3 and q1?;What is the value of the transition between this and that?;["stato-q3", "stato-q1"]
47;What is the value of the transition between q3 and q2?;What is the value of the transition between this and that?;["stato-q3", "stato-q2"]
48;What is the value of the transition between q4 and q1?;What is the value of the transition between this and that?;["stato-q4", "stato-q1"]
49;What is the value of the transition between q4 and q2?;What is the value of the transition between this and that?;["stato-q4", "stato-q2"]
50;What is the value of the transition between q4 and q3?;What is the value of the transition between this and that?;["stato-q4", "stato-q3"]
51;Tell me about the transition q0 q1;Tell me about this;["transizione-q0-q1"]
52;Tell me about the transition q1 q2;Tell me about this;["transizione-q1-q2"]
53;Tell me about the transition q2 q3;Tell me about this;["transizione-q2-q3"]
54;Tell me about the transition q3 q4;Tell me about this;["transizione-q3-q4"]
55;Tell me about the transition q4 q0;Tell me about this;["transizione-q4-q0"]
